id,user_id,document_id,name,email,phone,fax,siren,activity,workforce,naf_code,website,billing_address,billing_city,billing_state,billing_country,billing_postalcode,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postalcode,type,industry,description,created_by,is_active,created_at,updated_at,record_id,task,has_tasks,favorite,already_called,company_size,relationship
2,0,NULL,"Arnold Fils (SARL)",,0389822471,NULL,32529968300020,charpentes,10,4332A,www.arnoldfils.fr,"22 r Croix",KRUTH,NULL,France,68820,"22 r Croix",KRUTH,NULL,France,68820,1,1,NULL,2,1,"2021-11-29 19:36:00","2022-08-04 14:21:41",2,,non,NULL,0,Moyenne,0
3,0,NULL,Bianchi,,0389710288,NULL,32533821800010,charpentes,3,4332A,www.charpentes-bianchi-68.com/2013/,"3 r Fecht","WIHR AU VAL",NULL,France,68230,"3 r Fecht","WIHR AU VAL",NULL,France,68230,1,1,NULL,2,1,"2021-11-29 19:36:00","2022-08-08 12:26:14",3,,non,NULL,0,Petite,2
4,0,NULL,"Binkert (SARL)",,0384233802,NULL,30202016900025,charpentes,20,4391A,www.binkert.fr,"41 Grande Rue",BRETAGNE,NULL,France,90130,"41 Grande Rue",BRETAGNE,NULL,France,90130,1,1,"le soir",2,1,"2021-11-29 19:36:00","2022-08-08 12:26:48",4,,non,NULL,0,Petite,2
5,0,0,"Bois et Techniques",,0389533658,0389265179,50172150000020,charpentes,6,4391A,www.bois-techniques.fr,"19 r Industrie",,NULL,France,68360,"19 r Industrie",,NULL,France,68360,1,1,,2,1,"2021-11-29 19:36:00","2021-11-29 19:36:00",5,,non,0,NULL,,0
6,0,0,Bois2boo,,0388855360,0388855363,49345395500020,charpentes,20,4391A,www.bois2boo.com,"15 r Moulins",,NULL,France,67730,"15 r Moulins",,NULL,France,67730,1,1,,2,1,"2021-11-29 19:36:00","2021-11-29 19:36:00",6,,non,0,NULL,,0
7,0,0,"Camilatto Charpentes",,0389401489,0389401489,34067596600014,charpentes,3,4391B,www.camilatto-charpentes.fr,"10 r Vallons",ALTKIRCH,NULL,France,68130,"10 r Vallons",ALTKIRCH,NULL,France,68130,1,1,,2,1,"2021-11-29 19:36:00","2021-11-29 19:36:00",7,,non,0,NULL,,0
8,0,0,"CCR SCHMITT (SARL)",,0389521800,0389508236,39423795200020,charpentes,6,4391B,www.ccrschmitt.fr,"10 r peupliers",PFASTATT,NULL,France,68120,"10 r peupliers",PFASTATT,NULL,France,68120,1,1,,2,1,"2021-11-29 19:36:00","2021-11-29 19:36:00",8,,non,0,NULL,,0
9,0,0,"Cescutti et Fils",,0389220494,,33042273400013,charpentes,10,4332A,www.charpentes-cescutti.fr,"25 r Sundhoffen",,NULL,France,68127,"25 r Sundhoffen",,NULL,France,68127,1,1,,2,1,"2021-11-29 19:36:00","2021-11-29 19:36:00",9,,non,0,NULL,,0
10,0,0,"Charpente Adam (SAS)",,0388962328,0388966944,32347126800017,charpentes,6,4391A,,"18 r Neuve","WANTZENAU (LA)",NULL,France,67610,"18 r Neuve","WANTZENAU (LA)",NULL,France,67610,1,1,,2,1,"2021-11-29 19:36:00","2021-11-29 19:36:00",11,,non,0,NULL,,0
11,0,0,"Charpente Bayard",,0388854652,,,charpentes,0,,www.charpente-bayard.fr,"44 r Eglise",HILSENHEIM,NULL,France,67600,"44 r Eglise",HILSENHEIM,NULL,France,67600,1,1,,2,1,"2021-11-29 19:36:00","2021-11-29 19:36:00",12,,non,0,NULL,,0
